Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Seychelles,SYC,"$614,879,765 ","$622,262,057 ","$697,518,248 ","$705,704,816 ","$839,319,927 ","$919,103,255 ","$1,016,418,229 ","$1,033,561,654 ","$967,199,594 ","$847,397,850 ","$969,936,525 ","$1,065,826,670 ","$1,060,226,126 ","$1,328,157,609 ","$1,343,007,841 ","$1,377,495,052 ","$1,426,651,766 ","$1,524,486,801 ","$1,586,008,997 "
Sierra Leone,SLE,"$635,874,002 ","$1,090,467,712 ","$1,253,340,520 ","$1,385,810,072 ","$1,448,536,631 ","$1,650,494,367 ","$1,885,112,202 ","$2,158,496,873 ","$2,505,458,705 ","$2,453,899,847 ","$2,578,026,297 ","$2,942,546,781 ","$3,801,862,611 ","$4,920,343,195 ","$5,015,157,816 ","$4,218,723,875 ","$3,674,794,530 ","$3,739,577,973 ","$4,085,114,794 "
South Africa,ZAF,"$136,361,298,082 ","$121,514,658,737 ","$115,482,368,344 ","$175,256,916,996 ","$228,590,027,401 ","$257,772,710,833 ","$271,638,484,826 ","$299,415,505,152 ","$286,769,839,733 ","$295,936,485,833 ","$375,349,442,837 ","$416,418,874,936 ","$396,332,702,639 ","$366,829,390,479 ","$350,904,575,292 ","$317,620,522,795 ","$296,357,282,715 ","$349,554,116,684 ","$368,288,939,768 "
South Sudan,SSD, .. , .. , .. , .. , .. , .. , .. , .. ,"$14,586,253,383 ","$12,231,264,525 ","$14,602,072,411 ","$14,907,308,933 ","$11,931,472,169 ","$18,426,469,017 ","$13,962,212,847 ","$11,997,800,760 ", .. , .. , .. 
Sudan,SDN,"$12,257,418,326 ","$13,182,979,784 ","$14,803,189,093 ","$17,646,503,525 ","$21,457,470,203 ","$26,524,538,566 ","$35,822,408,612 ","$45,898,948,564 ","$54,526,580,232 ","$49,957,202,646 ","$61,739,815,527 ","$57,891,984,840 ","$52,766,720,139 ","$57,730,424,385 ","$64,941,775,065 ","$74,294,471,279 ","$51,772,232,495 ","$45,379,127,306 ","$26,078,607,539 "
Tanzania,TZA,"$13,375,976,354 ","$13,581,644,246 ","$14,142,035,080 ","$15,224,257,698 ","$16,675,948,415 ","$18,399,046,025 ","$18,649,590,248 ","$21,843,529,025 ","$27,941,177,435 ","$29,081,425,282 ","$32,014,249,841 ","$34,657,139,495 ","$39,650,530,214 ","$45,680,532,614 ","$49,964,788,814 ","$47,378,599,025 ","$49,774,021,003 ","$53,320,625,959 ","$58,001,200,572 "
Togo,TGO,"$1,488,185,772 ","$1,481,141,850 ","$1,698,678,686 ","$2,111,093,198 ","$2,255,942,249 ","$2,280,575,830 ","$2,349,495,621 ","$2,659,095,101 ","$3,310,277,927 ","$3,365,711,796 ","$3,429,461,495 ","$3,872,459,250 ","$3,873,308,389 ","$4,321,655,656 ","$4,574,986,537 ","$4,180,866,177 ","$4,486,979,198 ","$4,819,949,975 ","$5,356,344,850 "
Uganda,UGA,"$6,193,246,837 ","$5,840,503,869 ","$6,178,563,591 ","$6,336,696,289 ","$7,940,362,799 ","$9,013,834,373 ","$9,942,597,780 ","$12,292,813,603 ","$14,239,026,630 ","$24,924,179,656 ","$26,457,287,918 ","$27,646,526,402 ","$27,084,639,297 ","$28,681,464,765 ","$32,348,119,639 ","$32,124,730,771 ","$28,967,460,677 ","$30,756,466,548 ","$32,772,824,209 "
Zambia,ZMB,"$3,600,683,040 ","$4,094,480,988 ","$4,193,845,678 ","$4,901,839,731 ","$6,221,077,675 ","$8,331,870,169 ","$12,756,858,899 ","$14,056,957,976 ","$17,910,858,638 ","$15,328,342,304 ","$20,265,559,484 ","$23,459,515,276 ","$25,503,060,420 ","$28,045,512,871 ","$27,150,646,909 ","$21,243,347,377 ","$20,954,761,767 ","$25,868,142,077 ","$27,005,238,896 "
Zimbabwe,ZWE,"$6,689,957,600 ","$6,777,384,700 ","$6,342,116,400 ","$5,727,591,800 ","$5,805,598,400 ","$5,755,215,200 ","$5,443,896,500 ","$5,291,950,100 ","$4,415,702,800 ","$9,665,793,300 ","$12,041,655,200 ","$14,101,920,300 ","$17,114,849,900 ","$19,091,020,000 ","$19,495,519,600 ","$19,963,120,600 ","$20,548,678,100 ","$22,040,902,300 ","$24,311,560,500 "
Sub Saharan Africa ,SSF,"$8,770,545,509 ","$8,192,122,038 ","$8,931,177,159 ","$11,188,560,225 ","$13,927,618,507 ","$16,527,443,238 ","$19,643,089,292 ","$22,807,092,703 ","$25,907,948,060 ","$24,683,897,230 ","$29,350,320,652 ","$33,134,924,087 ","$35,461,180,013 ","$37,835,594,619 ","$39,627,450,428 ","$36,133,153,586 ","$33,857,936,246 ","$36,082,251,981 ","$37,726,935,829 "
